,0
118,나는 쟈미있게 잘봄 ㅎㅎ  건들지말라는건 건들지말고 좀 말좀 잘들으면 참좋냐아  
119,발암캐릭터들로 전개되는 전형적인 스토리집으로가 놀이공원에 있는 유령의 집 으로 라는 뜻이었던듯 그정도로 귀신이 아기자기하고 소소하게 놀래켜줌 처음으로 이 시리즈 계속 보고 있는 내가 안타까워짐  
120,어제 시사회로 봤는데 나땜에 옆사람 놀라고 옆사람땜에 나도 놀라고 애나벨은 찐이거든  급식들  또  팝콘으로 어그로 끌면 쥐긴다  무서운거 잘 못보는데 이건ㅎ 뿔달린 악마 나올 땐 웃기기까지 하더라 컨저링 시리즈 좋아하는데 진짜 제일 실망스러움 처음엔 짜증나고 중간엔 이게 뭔가싶고 제목은 대체 왜 애나벨인지 이도저도아닌 느낌  스토리가 없어요 별로네요  전작들도 다 영화관에서 너무재밌게 봐서 이번것도 기대 많이 했는데전작품들에서 봐오던것들을 그대로집어 넣어서 식상했음재활용 한것들 치고 연출은 좋았는데 그외에는 다별로분위기만 잡고 무섭지는 않음  악마 개쫌생이애기랑 엄마 위협하는 수준이  전혀 무섭지 않습니다 기대가 컸나 봅니다  무섭지도 않고 구성도 전체적으로 엉성하고 허술함  뭐 영화를 이따구로 만드냐 스토리가 너무 예상감 개뻔해무섭기만함  진짜 도대체 에나벨 시리즈가 인기가 왜 많은지 알 수가 없다 잔잔하니 너무 노잼 공포영화 너무 좋아하는데 얘 시리즈는정서에 맞지않는건지 진짜 취향 무썸남썸녀랑 보면 썸 깨질삘 너무지루해서  더 넌까지는 무섭고 심장이 두근두근 거리고 눈을 가렸지만 이 영화는 코미디ㅋㅋㅋㅋ 너무 억지로 만든 개연성 1년1작품이라는 급박함이ㅜ  핵노잼개노잼더럽게재미없고답답하고안무서움  영화 보다가 잔적이 처음이다 구구절절한 설명과 비틀지 않고 걍 고대로 넣은 클리셰 하지말란거 꼭하는 주인공 식상하면서 너무 질질 끄는 연출 일본에서 만들었나 싶은 저렴한 특수분장  이름만 갔다 쓰고 감독이 바뀌니까 히트작들하고 느낌이 너무 다름 어둡고 잘안보이는 답답하기만한 화면에 유령들은 3류 크리쳐물티가 나고 입냄새로 죽이려는 건지 얼굴에 대고 괴성만 지르니 긴장감이 없다  영화관에는 정적만 흘렀다고 한다 가끔 너무 웃겨서 피식함 ㅋ  갈수록 낮아지는 기대치 그럼에도 불구하고 매니아관객의 니즈를 충족시켜주지 못하는 영화  육개월만에 공포영화 봤는데 지렸다  제일 무서운 실제 케이스 바탕으로쏘쏘의 영화를ㅠ  재미없어요별로 무서운장면도 없음  너무무섭다  진짜 안무서움  조나무서 조난무서버  컨저링1보고 충격 씨게 받아서 2랑 에나벨도 찾아서 봤어서 이번꺼도 기대하고 봤는데 너무 뒤통수 맞은 느낌제임스완 이번 영화도 각본이랑 연출만 담당하고 메인 감독이 어스 만든 제작진이라는데 이번꺼도 보고 기대이하면  요로나의 저주 개노잼그거 보고 영화관에서 이거 봤었는데 요로나를 봐서  그런지 무서웠음  컨저링과 애나벨은 어떤 관계라고 봐야 될까스핀 오프   처음에는 괜찮았으나 점점 갈수록 별로어떻게든 공포분위기 만들려고 노력한 영화입니다결말이 너무 허무하고 어이가 없음  다니엘라 개극혐 베라파미가랑 그의딸 주디 연기 너무잘함  
121,개무서움엄청무서움인정  애나벨 시리즈는 그냥 킬링타임용 갈수록 연출이며 스토리가 너무 억지스럽고 재미나지 않지만 소소  만지지 말라는걸 만지다가 결국 큰화를 불러일으켰다  
122, 더 넌보다 최악인 컨저링 시리즈가 나올 줄이야분위기만 계속 깔고 전혀 무섭지 않습니다  
123,음 이전 작품과 매끄럽게 이어지지는 못하는거 같다귀신 총출동은 재밌었는데 엑소시즘부분은 좀 아쉽  어둡기만 하고 떡밥만 던져놓은  무서운것 만큼은 좋았지만 재미는 그닥  이 영화의 교훈  제발 하지 말라는 것들은 좀 하지말고 만지지 말라는 것들은 만지지좀 말자  제임스 완을 감독으로 데리고 와라  늑대유령은 대체 왜집어넣은거야 앞시리즈 욕보이려고만든거야뭐야ㅡㅡ  이 영화는 저의 최애 공포영화  3에 들어가는 영화고요기대하고 봐도 기대 안 하고 봐도 재미있는 영화 입니다그리고 진짜 다들 하지 말라는 것들은 진짜 하지 맙시다  심심할때 생각없이 보기엔 괜찮음  
124,약간 그냥 저냥  흠 그냥  별로 무섭지 않았고 그냥 멍때리다 보니 어느새 끝나있던 다니엘라 행동도 너무 이해 안가고 개연성이 별로 없는 듯 했음  시리즈 전부를 다 본사람입니다 그외 인시디어스 등등꽤 몰입도 있습니다 다만 제임스 완이 감독일때의 감동은 없답니다몰입도는 있는데  공포감은 떨어지네요 다만 오컬트 호러물 자주 보는 사람들은 면역이 되서 시시 친구 진짜 재수없네 꼭 저렇게 사고치는것들이 있어요  보면서 하품 총 8번함컨저링 시리즈 중 제일 못만듬 판타지영화인줄  
125,공포심은 전작보다 별로 였어요  
126,무서웠어요 아이가재미있데요  
127,정말 재미없구무섭지않은 공포영화  이제 그만하자 일반 호러물보다도못함  공포영화 매니아라 그런지 재밌었습니다  재미없을줄알고 영화관에서안보고 무료다운받아서  거의다봤는데 ····무서운거 1도없었음갑툭튀늑대인간무엇 쨋든 노잼각잡았음ㅋ  애나벨 시리즈 중에 제일 재미없는걸 돈주고 다운받는건 좋은데 난 그냥 대여만 원하는데 구매만 가능하게 하다니실망이야ㅠㅠ  전작들과 비슷함의 반복 새로울 것이 없는  
128,조금 놀랄정도에요 볼만해요  
129,그저그런 공포보다는 좀 주인공들이 짜증나는 영화  와 이렇게 안 무서운 공포영화가 다 있네ㅎㅎ  
130,가만히있는거 괜히 건들지 맙시다 ㄹㅇ  애나벨을 추억속으로 보내버린 호로작  
131,공포영화는 무난하게 항상 재밌게 보는 편이라 호  말 안들으면 쳐 맞아야지  공포영화라기엔 안무섭고 성장영화라기엔 허무함  공포영화 잘 못보는데 내가 놀랄장면이 없었네 제발 만지지말라는건 만지지말고 들어가지말라는건 들어가지마 다니엘라야 아빠 한 번 더 보겠다고 하려다 주디랑 메리엘렌까지 골로 보낼뻔했다 너가  왜이리졸리는지따분  이건 참 차라리 한국 공포영화가 더 볼만하겠네요 진짜 노잼 그나마 다니엘라 찔릴 때가 제일 재밌었어요  
132,재밌다 아주 애나벨은 무섭다  1도안무섭다 ㅅㅂ폴더가이스트 현상 졸라 노잼귀신도 전혀 안깜짝놀람심장박동수 단 1도 증가안함  그동안 쌓아놓은 애나밸 팬덤을 비급 연출로 한순간 말아먹는 전형적인 망작 후속편 역대 최악의 한숨 나오는 애나벨 속편  
133,너무너무너무너무어무 재미없다  존나 암 전개 진심 패버리고싶을정도로 말을 안쳐듣는 대니엘라  공포영화가 꽁트나 드라마로 바뀌면 어쩌자는거임  워렌부부는 왜 주연이라고해놓냐 한 20분나오냐 ㅋㅋ 거의 날강두수준이네 아 강두형보다는 많이 나오니까 주연맞구나  
134,전편에 비해 그닥  
135,1  
136,아이고남편 하나도 안 무섭답니다  이때까지 컨저링 인시디어스 애나벨 시리즈다봤는데 두눈 다뜨고 끝까지본건 진짜진짜 처음임  최악이여씀정말ㅠㅠ 늑대인간 기타로패버리기  빔프로젝트로 구마의식 해보리기 딱 패러디영화 느낌임 워렌부부는 아에  무섭지가 않았다ㅠㅠ되려 답답소꿉놀이로 밖에 안 보였음  그저 웃지요 ㅋㅋㅋㅋ 소재가 다 떨어젔나보다  그냥 디즈니용 애나벨    악령들이 애들을 겁만주지 해할 생각이  없어보일정도  유치찬란 젤 재미없었다 앞으로 이러다 얘네꺼 망할조짐 보인다  과도하게 질질끈다전개도 역대 최악  보면 안되는 영화 궁금해도 패스  그러게 워렌씨네 창고를 건드리면 지는 겁니다  나 진짜 컨저링 인시디어스 애나벨등 제임스완 제작 어쩌고 하면 다봤는데 이번껀 아니올시다다  시리즈중 최악 재미도 없고 안무섭고 급마무리로 퇴치에 뿜었다  나지금 보면서 평하고있는데 진심 재미드럽게없고 폰으로 페북하며 멀티태스킹중이고 눈은 점점 감기고 차라리 에나벨이 움직였으면 더재밌겠다는생각들고 쉬부라이 드럽게 재미없네ㅗ 알바들아 얼마받냐 나도 용돈이나좀 벌어볼까 
137,클리셰 그냥 깔짝이다 끝남  이번꺼는 진짜 실망이다 15세관람가가 아니라 12세관람 수준컨져링때문에 눈이 높아진건가 진짜 너무 유치한데  베이비 시팅을 당하는 애가 되레 베이비시팅은 필요가 없고 언니가 싼똥 치우네 차라리 혼자 있었으면 별일 없었을 텐데 ㅋㅋㅋ  이번 영화는 없던 걸로 하자  암 유발자가 여자일수록 재미도 같이 떨어진다 주인공들도 들러리로 나오고 색다른 점도 없고 식상한 레파토리  같은ㄴ ㅛ ㄴ 꼭 저런ㄴ ㅛ ㄴ 이 어딜가도 있다닌깐 남의집에서 가만히 처있던가 꼭 나대는것들디져야지  열지말라는거 여는년 진짜 빡치는데ㅋㅋㅋ저거 여는사람도 있어야 영화가 시작하죠ㅋㅋㅋㅋ  일단 하지 말라는 짓 다 하는거부터가 답답 남의 집에 처음 가놓고 물건 막 만지고 하 그리고 먼 구스범스 보는거 같았음 다음 장면들 다 예상되고 그냥 해결하는것도 완전 허무하게 해결하고 주인공 애기가 
138,베리베주제이가이란비  
139,글쎄 애나벨이라서 보긴 봤지만 쓰읍  
140,그저그럼 무난한 영화다  
141,만가지 악령이 모두 나오는 영화라 다소 번잡스럽게 보여지네요  
142,생각보다 재밌었어요  에나벨 비중이 적은것이 유일한 단점  전작보다  못함  스토리가  부실하긴  한데  그래도  볼만은  함  언제나 중박정도는 쳐주는 브랜드  1편 2편이 훨씬 무서움  여름에 추워지는 영화  진짜 소름돋는 영화 시리즈중 역대급  딱 중학생 수준 공포영화  시리즈 다봤는데다니엘라가 제일 무섭고 소름왜 아무거나 만지니  동화도아니고호러타이틀 떼야할듯 이영화  
143,재미져요너무너무하하하  망할 하는데가 없네코엑스나 센트럴이나 강남 씨지비 메가박스 강남 동대문도 괜찮으니까 아무데서나 해주시면 안되나요 공포영화 영화관에서 보고싶은데 곤지암 빼고 영화관에서 본 공포영화가 없어슬프다 하 안산까 역시 애나벨시리즈 후회없는 선택이었네요  너무 재밋고 긴장감 대박 소름끼치네요 깜놀  심야로방금보고왔는데역시기대안하고봐야존잼♡여태본외국공포영화중최고  남의 물건을 함부로 만지지 말자평소 이슈에 관심을 가지자  볼만해요 애나벨 2가 더 재밌고 무섭긴 한데이것도 나쁘진 않아요 별로 안 무서워요  주디가 너무 예뻐요 영화 내내 귀신은 뻔했고  컨저링 유니버스 최근작들에 실망을 하도 해서 기대없이 봤더니 그래도 볼만은 했다 나름 짜임새 있는 서사를 가진 호러물이었는데 이제 그냥 깜놀영화 수준에 더 가까운 듯 ㅠㅠ 그래도 특유의 매력은 좋다 제임스  너무 평범 그자체어디서 나올지 다 예측이되는영화  
144,이번엔 악령들이 엄청 많이 나와서 더 볼만했던 거 같음  
145,눈물날뻔 ㅜ 4천원내고 봐서  망정이지   
146,예상했던 결말로 흘러가긴 했지만 볼만했어요  수입맥주 만들던 회사가 갑자기 카스만든것 같다 ㅋㅋㅋ  
147,그럭저럭 볼만 합니다  
148,컨저링 유니버스 계속 나와주세요  
149,멍합니다응 ㄱ대말고 걍보시면 좋어요  제발 이제 뭐 좀 나올 때 되지 않았나 생각만 하다가 끝나버린 영화 공포라기엔 하나도 안 무서움 진짜 전  혀 안 무서움 이건 아니지  제발 이제 뭐 좀 나올 때 되지 않았나 생각만 하다가 끝나버린 영화 공포라기엔 하나도 안 무서움 진짜 전  혀 안 무서움 이건 아니지  이런 영화라면 더이상 그립지 않을 것 같다  에나벨 시리즈중에는 눈뜨고 다봄  아보기 전인데공포매니안데후기가 불안하다  에나벨 무섭네요 무서워서 혼자 소리쳤어요  
150,그렇게 무섭진 않았지만 존잼  전작만은 못하다 엑소시즘의 부재로 덜무서움  공포 장치는 ㄱㅊ은데 내용이 좀  노잼입니다  로레인 워렌이 뭔가를 느껴서 워렌 부부가 좀 더 일찍 집에 와 악령들과 사투를 벌였어야 했다 애들 상대로 싸우다보니 악령들이 약하게 느껴졌다  
151,사다코대가야코를 본느낌 애나벨 시리즈 중에서는 별로였던것 같아요  
152,재미있다재미있다재미있다재미있다  
153,괜찮은 추억을 다시 만났다  
154,다니엘라는 짜증 그 자체였지만 스릴도 있고 나름 재미있게 본 듯  
155,놀랍기도 하고 잘 감상했습니다  너무 무서워서 팬티를 머리에 쓰고 잤네요 게이새이들아  난 존잼인뎅 좀 이해 안되는 부분도 읶지만 만족  주디 귀여워ㅜㅜ 볼만해요 보세연  
156,재밌다  하지만 혼자보지는 마라 ㅋㅋ  갑툭튀 졸라 심하네  볼만해요그리고 무섭지는 않은데 깜짝 놀래키는게 재미있었어요 저는 그 동전귀신이 가장 무섭더라구여  
157,내가 워렌부인이었어도 다니엘라후드려팼다 리얼 다니엘라가 너무 막장이라 개연이 이상했음  
158,굿굿 재밌었어요 또 보고 싶어요  진짜 믿고보는 애나벨 짬뽕같다는 소리 듣고 좀 망설였는데 망설인 시간이 아까울정도로 재밌었습니다단 한가지는 심야로 보세요  
159,너무 재미있게 봤습니다 최근본 공포물중 최고입니다  
160,하지말라면 하지좀마  
161,무섭지만 재미있었어요 스포는 참겠습니다 ㅎㅎ  애나벨 사랑해 근데 이번엔 좀 임팩트가 약했다 애나벨이라기보단 컨저링 유니버스 총집합 ㅋㅋ미래에 나올수도 있는것들 떡밥이 엄청나게 많았다 워렌부부 박물관에 궁금했던 사물들도 다 알려주고  
162,하지말라는거는 안하는게 답  
163,쥬만지 공포영화 버젼같아요  
164,그냥저냥 머 그럭저럭 음  
165,엄청깜짝깜짝놀랐어요 조금 지루한면이 있네요  
166,나름 중간중산 놀랫지만 흠그냥 볼만 배우 인물들이 넘 이뻐서 얼굴만 본거같음 ㅋㅋ  긴장하면서 봤네요 심장이 콩닥콩닥  돈이아까울정도로 재미없는정도는 아니였고 나름 무섭고 좋았어요  컨저링애나벨 전 편들에 비해 내용이 없고 덜 무섭긴 한데 돈이 아까울정도는 아니었어요 안좋은 후기들만 봐서 기대를 안한것도 있지만 나름 재밌어요  반점을 주기도 아깝다 지루한 전개  생각보다 그리 무섭진않음  
167,제임스완이 없는 컨저링 유니버스의 한계  역시 무서운건 인정하는데 내용이 너무 뻔하고 개같음  그리고 마지막에 베이비시터 친구년떄문에 워렌부부  자기딸 뻔했는데 부부는 그럴수있어 ㅇㅈㄹ 하듯이 전개하니 ㅈ같드라  좀 너무하다 이번건 ㅋㅋㅋ  생각보다 훨씬 재밌었는데  재밌는데 발암도 있음 하지말라는건 다 해 ㅡㅡ  그냥 급을 넘어선 급영화였다  
168,많은 평에 나와있듯이 귀신의 집에 간다면 이런 느낌일까 싶었음 ㅇㅇ 하지만 나온 귀신들이 전부 시리즈에 있을꺼 같다고 생각하니 더욱 자세한 이야기들이 기대감을 키우게 만들었음  
169,티켓구매는햇으나 보지못함  보면서 스트레스받음 무서워서 ㅠ 8점은 결말이 급하게 끝나버림결말이 아쉬워서 8점  
170,하지 말라는 건 꼭 하는 공포영화  무서워서 거의 못 봤는데 존잼이었다  심야영화로 보는데 영화관에서 모든 사람들이 아 발하며 놀라고 그 후에 내가 뭘 본건가 싶은 영화 보고 난 후에 남는 여운도 없고 그냥 집갈때 무서움 칼든여자가 다가올때 무섭고 땡그랑 한푼 땡그랑 두푼도 소름  역대 시리즈 중 가장 실망스러웠습니다  애나벨 내가벨튀하는게 더무섭겟다  컨저링 애나벨 시리즈 중에 최악 나중에 풀리면 보세요 진짜 안무서워요  제가 에나벨 12를 다 본입장으로써 3편은 그냥 저예산으로 돈만 벌려고 급히 만든 느낌이 강했구요 만약 에나벨3 안에 나오는 다른 악령들이 에나벨 중심 영화에서 한번씩 나오긴 하였지만 조금 더 잘 묘사되었으면 영화 ㅈ노잼 지루함그냥  오랜만에 박평식 평이 극공감됐다  별5개는 전부알바임공포영화보고 무섭지도안고 후유증도없긴 첨입니다별한개도아깝다는밤에 여자혼자보러갔는데 아무렇지안다는건 말다한거겠져  진짜 거짓말안합니다 알바도아니고 그냥 시민으로 말씀드릴게요 개호로 잡영화임  제가 감독이였으면 중반이후에 다 날려버리고 다시 찍었을 것 같아요  하나도안무섭다 웃기다  ㅋㅋ개그콘서트 급 이네  어벤져스인줄 알았는데 저스티스리그였다 ㅅ  ㅋㅋ 진짜 알바한데 제대로 낚여서 2시간 2만원 버리고 잠떄렷네요 ㅋㅋ 무섭기는개뿔 그냥 동네 귀신 싸그리 모아다 말도 안되는 장면으로 떄려박은 두시간 그냥 영화보다 텐션 개떨여저서 두시간동안 잠들엇네요 ㅋㅋ 이 그렇게 많은 소재를 가지고 이것밖에 못 했다는게 너무 아쉬운 영화  솔직히 사탄의 인형보다 더 낫고 무서움  볼보이 밥이 젤 불쌍ㅜㅋㅋ  즉당한 공포 식상한 연출 사운드는 역시 굳  일단요 진짜 제가 손모가지걸고 재밌어요 재미없단사람들은 이해못할정도로 이거영화보신다고하면 추천드리구요 근데  진심제가 우렌부부였음 다니엘라 팼어요 진짜 ㅋㅋㅋ 워렌부부가 진짜 성격좋고 착한거임  그냥 그랬어요 무서운 장면은 그닥 없늠  너무 정들어버린 애나벨 무섭지 않아 ㅋㅋㅋ  헉 무서웠어요 윽  피자를 훔쳐먹네 역시 악령이다  보는내내 심장쫄렸음무서운데 재미있었음  제한된 공간에서  나름 공포감을  잘살렸다  너무너무 재미나게 잘 봤어요  꼭 봐야해요 강추입니다♡♡  ㅠㅠ기대했건만개봉 첫 날 봤는데너무지루하고 전개느리고 재미없네요결말도 허무  저는 제가 기대하는 컨저링 유니버스였어요 순수 공포영화보다는 오컬트판타지에 봉인물 학교괴담 같다는 평도 이해가는데 이제는 세계관을 아니까 납득이가는 영화 긴장감도 다니엘라 스토리도 좋았어요 워렌 부부딸은 너무  컨저링유니버스팬을 위한  팬서비스및 아동용 타겟영화  넘나 무서븐 것 실화라니  무서웠어요조용하니까 더무서운거같아요  오늘 이불덮고자긴 글렀습니다 ㅋㅋㅋㅋ  무섭네요 ㄷㄷ 애나벨시리즈중 가장 좋았어요  애나벨 유니버스 점점 진화중  무서웠어요ㅠ 연기력 짱짱  혼자 봤는데 무섭지가 않았어요 뭔가 허무하게 끝난 느낌 그래도 애나벨 시리즈를 좋아한다면 볼만해요  너무 놀라 소리지르고 나니 나 혼자으악ㅋㅋ  재미있게 봤지만 전 시리즈들에 비해 조금 유치하다는 생각이 들었습니다  볼만하요 믿고보는 에나벨시리즈  스토리가 좀 아쉽긴한데 그래도 무서워요  생각보다 무섭고 섬짓했어요 무더운 여름밤에 보기에 제격이네요  깜짝놀라면서 봤네요ㄱㅋㅋ  흑흑 ㅠㅠㅠ 무서웠어요 ㅠㅠ  깜짝깜짝 놀라서 팝콘도 제대로 못먹었네요ㅋ  귀여운 소녀들의 용감한 반란  예상 못한 장면들이 있어서 재미있었어요  더위를 날려주는 공포 재미있어요  마무리가 좀 아쉬워요 그래두 재써요  역시 애나벨 시리즈네요  정말 무섭고 재밌었습니다  애나벨은 2가 제일 무서웠던 것 같다 이번 편은 주요인물이 너무 스트레스 유발자였고 무서운 부분도 있긴한데 늑대인간은 왜 넣었는지 모르겠고 그래도 다른 공포영화보다는 컨저링 시리즈가 조금이라도 더 나으니까 스토리는 뻔하지만 무서웠습니다 킬링용으로 괜찮아요  개연성이 좀 구리긴 해도 중후반 악령들 다 나와서 무섭지 하는데 진짜 무서웠다  재미있게 봐써요 주디는 용감해요  재밌게 봤어요 역시 애나벨  공포영화에서 느껴보는 시원함  컨져링 유니버스야 더더 발전해라  제임스완의 시리즈 회가 거듭될수록 점점 재미가  역시 애나벨 긴장감 최고  딸램이 친구들과 재미나게 봤다고합니다  재미있게봤어요 굿굿 다음편도 빨리보고싶어요  기대이상을 무서웠어용ㅠㅠㅠ  인형이 주는 공포와 빙의된 인간의 공포를 비교해보다  애나벨 시리즈 중에서 젤 무서웠던거 같은데  역시 제임스완♡기대한만큼 무섭고 넘 재밌었음 또 나왔쯔면  지금까지 본 컨저링 유니버스 중에 몰입감 최고  애나벨과 함께 하는 헬파티ㅋㅋ  마지막후반에 너무 무서웠어요ㅠㅠ  재밌었고 스릴있는 영화  잔인하지도 않으면서 음향효과 만점 얼마나 놀랐는집  무섭고 재미있었어요 아이들과 무서운 영화 제대로 봤네요  그닥 무섭진 않았어요 뭔가 아쉬운 느낌의 영화였어요  아쉬운점이 있긴 하지만 그래도 특유의 영화분위기와 긴장감 잘 느끼며 봤습니다  많이 무섭진 않았고 나름 재미있게 봤어요  깜짝 놀래키는 것만 많지 스토리도 없고 12편이랑 이어지는 것도 없고 애나벨 컨저링 시리즈 중에선 단연코 최악ㅠㅠ      주디야 생일축하해 계좌부르고  그래도 볼만했습니다  방금 심야로 봤는데 무섭긴 한데 스토리 구성이 아쉬웠어요 ㅠㅜ 뭐가 더 있겠지 했는데 읭 딸이 나름 큰 활약하긴 했지만 뭔가 부족함 시리즈 중에서 컨저링2가 여전히 넘사벽  
171,재미없어요 사람마다 다르겠지만 저한테는 클리셰라는 단어를 떠오르게 해준 영화입니다  이번엔 1편 2편에 비해서 왜이리 못만든건지  꽤 재밌긴했는데 마악 뮤서윤 장면이 적어용  와 니게어떻게 7점대냐ㅋㅋㅋㅋ 이거 볼바에 마담싸이코 보는게 100만배는 나을듯  알바에낚였다  
172,재밌지 않은 무서움 탄탄하진 않지만 볼만은 했다 쫄깃함도 전편에 비하면 들하다는 것치고는 그리고 마지막은 나에게 큰 충격이었다 또 하나 더 허무하다  그냥 쥰내 재밌음 
