,0
12,이번 영화는 사운드가 개지렸음 고막 찢어질듯한 소리도 있고 잔잔하게 깔다가 왁하는 연출이 대박  애나벨 너무 무서워용 ㅡㅡ 어제 잠 못잣어요  시간가는줄 모르고 푹빠져서 봤습니다 목에 담걸리는줄  
13,2019년 7월 6일 은평메가박스 저녁 7시30분 열 3번 앉은 영화시간내내 큼큼거리던 큼큼이 뒷통수 무사한걸 다행으로알아라 주먹이 불타올랐으니까  남자친구랑 재미있게 봤다평점때매 기대 안 했지만 갑툭튀도 현저히 많고 처음부터 끝까지 스릴 넘쳤다호불호 갈리는듯 무언가 제대로된 스토리가 있고 흐름대로 가는 영화를 바라는 사람들에겐 별로이고 정말 제대로된 스릴 난 이게 애나벨 시리즈중에 제일 재밌던데 사람마다 역시 틀린가봐 물론 컨저링1이 제일 무서웠는데 재미는 이번작이 제일 낫다고 본다  여자친구랑보러왓습니다 심장약한대 살아사돌아가길 빌어주세요  무서워요 그냥 무섭습니다악플다시는 키보드워리어님들 말듣지마세요  애나벨  순한 맛 12세관람가  
14,뭔가 애나벨 시리즈중 가장 기대했는데 가장  실망이었다  
15,제발 하지말라는거 하지좀 말지 왜 일을 만들어싸 다니엘라  
16,여자친구랑 봤는데 가오가 육체를 지배했던 내가 가오가 다빠져서 시부뤠 쫄보마냥 눈 질끈감고 있었다 하  
17,여름엔 공포영화지그래도 애나벨1이 제일 재밋음  
18,무섭다가 웃김 ㅋㅋㅋㅋ  집에 불 좀 키라고   내용은 너무 지루함 하지만 공포요소는 만족  
19,와전 최고 반전 무서웟ㅆ다  적당히 무섭긴한데 컨져링 애나벨 시리즈중 역대급으로 무능한 악마 초딩 애 한 명한테 제압당하는 너무 허무함  오리엔탈 샐러드에 참깨 키위 사과 딸기 드레싱을 곁들이면 이런 느낌일까차라리 더 넌이 나은것 같은데  
20,생각보다 많이 무섭진 않았음 34번 정도 깜짝 놀라 욕할뻔ㅡㅡ  
21,무서웠음 다음 애나벨 시리즈 컨저링 유니버스도 기대 중  컨저링 유니버스 일곱번째 작품 이번엔 진짜다  
22,주디 때문에 10점 이였는데 암걸리는 여자 안죽어서 10점 못줘  
23,솔짇히 팬심으로 본 영화 소름돋는 장면은 없었다그래도 컨저링 유니버스에서 애나벨 스토리를 끝내야하기때문에 만들어진 영화랄까 어쩔 수 없는 클리셰 스릴감은 좋았다 사운드도 굳 제임스 완 당신이 아니면 안되 재맛어요ㅎㅎㅎ 무섭고  
24,클라이막스에 몰아치는 공포가 주는 쾌감  
25,주디의 생일 파티를 위해 선사하는 악령들의 서프라이즈 파티  내가 본 공포영화중에 최고 악령계의 어벤져스 총출동  올 여름 최고의 공포영화가 될듯  짱완전이히히짱이에요  너무 재밌었닼ㅋ 사방팔방 사람들 놀라는 소리  놀라고 현타오는 소리 ㅋㅋ특히 종 울릴 때는 귀 막음 ㅠㅠ 애나벨 마지막 제대로 끝낸 것 같다   컨저링 시리즈 좋아해서 봤는데이번에도 재밌었어요근데 사무라이귀신 스토리도 영화로 나왔으면 좋겠다동양풍이라 뭔가 오싹  
26,동전이 정말 좋다 나는 동전소재 귀신이 너무좋았따 다니엘라 이쁘다  
27,너무 무서워서 팝콘 던지고 그런짓 하지도 못함 개무서워서 그냥 소리도 못지르고 얼어버림  개노잼 언제부턴가 미국공포영화는 어린애 나오는순간 다 개노잼임 하나도 안무서움 심장막히는 스릴도 1도 없음  
28,무섭진 않지만 지루하지 않게 볼 수 있었던 영화  
29,나오는 크리쳐들 되게 창의적인것 같아요 잘 만듦  
30,후 남자애는 무슨봉변이람ㅋㅋㅋㅋ 그래도머 나름꿀잼  
